state,x,y
Alabama,122,-90
Alaska,-215,-170
Arizona,-215,-40
Arkansas,40,-55
California,-320,20
Colorado,-130,20
Connecticut,295,90
Delaware,275,42
Florida,220,-145
Georgia,170,-75
Hawaii,-317,-143
Idaho,-216,122
Illinois,85,37
Indiana,133,39
Iowa,38,65
Kansas,-14,5
Kentucky,149,1
Louisiana,59,-114
Maine,315,164
Maryland,288,27
Massachusetts,312,112
Michigan,144,110
Minnesota,23,135
Mississippi,94,-78
Missouri,44,6
Montana,-141,150
Nebraska,-61,66
Nevada,-257,56
New Hampshire,302,127
New Jersey,282,65
New Mexico,-150,-43
New York,236,104
North Carolina,225,-22
North Dakota,-65,158
Ohio,176,52
Oklahoma,-20,-41
Oregon,-278,138
Pennsylvania,210,68
Rhode Island,318,94
South Carolina,218,-51
South Dakota,-65,109
Tennessee,121,-34
Texas,-38,-106
Utah,-189,34
Vermont,282,154
Virginia,234,12
Washington,-290,185
West Virginia,200,20
Wisconsin,61,113
Wyoming,-134,90
